,datum,pocet_hosp
0,2020-03,117.71428571428571
1,2020-04,357.8
2,2020-05,138.67741935483872
3,2020-06,69.9
4,2020-07,82.64516129032258
5,2020-08,120.06451612903226
6,2020-09,479.3
7,2020-10,3778.8709677419356
8,2020-11,6549.833333333333
9,2020-12,4766.1612903225805
10,2021-01,6609.129032258064
11,2021-02,6430.428571428572
12,2021-03,8567.161290322581
13,2021-04,4786.466666666666
14,2021-05,1464.6451612903227
15,2021-06,182.8
16,2021-07,42.29032258064516
17,2021-08,63.74193548387097
18,2021-09,150.33333333333334
19,2021-10,724.8387096774194
20,2021-11,4614.0
