,kraj_nazev,pohlavi,vekova_skupina,count
0,Hlavní město Praha,M,1,80
1,Hlavní město Praha,M,2,383
2,Hlavní město Praha,M,3,137
3,Hlavní město Praha,Z,1,79
4,Hlavní město Praha,Z,2,347
5,Hlavní město Praha,Z,3,180
6,Jihomoravský kraj,M,1,41
7,Jihomoravský kraj,M,2,206
8,Jihomoravský kraj,M,3,111
9,Jihomoravský kraj,Z,1,40
10,Jihomoravský kraj,Z,2,189
11,Jihomoravský kraj,Z,3,143
12,Jihočeský kraj,M,1,22
13,Jihočeský kraj,M,2,98
14,Jihočeský kraj,M,3,67
15,Jihočeský kraj,Z,1,21
16,Jihočeský kraj,Z,2,97
17,Jihočeský kraj,Z,3,82
18,Karlovarský kraj,M,1,9
19,Karlovarský kraj,M,2,45
20,Karlovarský kraj,M,3,27
21,Karlovarský kraj,Z,1,9
22,Karlovarský kraj,Z,2,43
23,Karlovarský kraj,Z,3,35
24,Kraj Vysočina,M,1,16
25,Kraj Vysočina,M,2,75
26,Kraj Vysočina,M,3,51
27,Kraj Vysočina,Z,1,15
28,Kraj Vysočina,Z,2,73
29,Kraj Vysočina,Z,3,63
30,Královéhradecký kraj,M,1,18
31,Královéhradecký kraj,M,2,85
32,Královéhradecký kraj,M,3,57
33,Královéhradecký kraj,Z,1,17
34,Královéhradecký kraj,Z,2,81
35,Královéhradecký kraj,Z,3,73
36,Liberecký kraj,M,1,14
37,Liberecký kraj,M,2,66
38,Liberecký kraj,M,3,41
39,Liberecký kraj,Z,1,14
40,Liberecký kraj,Z,2,64
41,Liberecký kraj,Z,3,53
42,Moravskoslezský kraj,M,1,34
43,Moravskoslezský kraj,M,2,177
44,Moravskoslezský kraj,M,3,109
45,Moravskoslezský kraj,Z,1,33
46,Moravskoslezský kraj,Z,2,169
47,Moravskoslezský kraj,Z,3,145
48,Olomoucký kraj,M,1,16
49,Olomoucký kraj,M,2,86
50,Olomoucký kraj,M,3,59
51,Olomoucký kraj,Z,1,16
52,Olomoucký kraj,Z,2,82
53,Olomoucký kraj,Z,3,77
54,Pardubický kraj,M,1,16
55,Pardubický kraj,M,2,77
56,Pardubický kraj,M,3,50
57,Pardubický kraj,Z,1,15
58,Pardubický kraj,Z,2,73
59,Pardubický kraj,Z,3,62
60,Plzeňský kraj,M,1,20
61,Plzeňský kraj,M,2,96
62,Plzeňský kraj,M,3,57
63,Plzeňský kraj,Z,1,19
64,Plzeňský kraj,Z,2,90
65,Plzeňský kraj,Z,3,71
66,Středočeský kraj,M,1,36
67,Středočeský kraj,M,2,175
68,Středočeský kraj,M,3,113
69,Středočeský kraj,Z,1,33
70,Středočeský kraj,Z,2,174
71,Středočeský kraj,Z,3,143
72,Zlínský kraj,M,1,17
73,Zlínský kraj,M,2,83
74,Zlínský kraj,M,3,56
75,Zlínský kraj,Z,1,16
76,Zlínský kraj,Z,2,79
77,Zlínský kraj,Z,3,74
78,Ústecký kraj,M,1,26
79,Ústecký kraj,M,2,120
80,Ústecký kraj,M,3,73
81,Ústecký kraj,Z,1,25
82,Ústecký kraj,Z,2,118
83,Ústecký kraj,Z,3,94
